"biome","index","file","type","band","surface","damage","width","height","atlasX","atlasY"
"brine","24","brine_dirt_b2_s0_d0.png","dirt","2","0","0","50","50","400","50"
"brine","25","brine_dirt_b2_s0_d1.png","dirt","2","0","1","50","50","450","50"
"brine","26","brine_dirt_b2_s0_d2.png","dirt","2","0","2","50","50","500","50"
"brine","27","brine_dirt_b2_s0_d3.png","dirt","2","0","3","50","50","550","50"
"brine","28","brine_dirt_b2_s1_d0.png","dirt","2","1","0","50","50","600","50"
"brine","29","brine_dirt_b2_s1_d1.png","dirt","2","1","1","50","50","650","50"
"brine","30","brine_dirt_b2_s1_d2.png","dirt","2","1","2","50","50","700","50"
"brine","31","brine_dirt_b2_s1_d3.png","dirt","2","1","3","50","50","750","50"
"brine","32","brine_dirt_b2_s2_d0.png","dirt","2","2","0","50","50","0","100"
"brine","33","brine_dirt_b2_s2_d1.png","dirt","2","2","1","50","50","50","100"
"brine","34","brine_dirt_b2_s2_d2.png","dirt","2","2","2","50","50","100","100"
"brine","35","brine_dirt_b2_s2_d3.png","dirt","2","2","3","50","50","150","100"
"brine","36","brine_dirt_b3_s0_d0.png","dirt","3","0","0","50","50","200","100"
"brine","37","brine_dirt_b3_s0_d1.png","dirt","3","0","1","50","50","250","100"
"brine","38","brine_dirt_b3_s0_d2.png","dirt","3","0","2","50","50","300","100"
"brine","39","brine_dirt_b3_s0_d3.png","dirt","3","0","3","50","50","350","100"
"brine","40","brine_dirt_b3_s1_d0.png","dirt","3","1","0","50","50","400","100"
"brine","41","brine_dirt_b3_s1_d1.png","dirt","3","1","1","50","50","450","100"
"brine","42","brine_dirt_b3_s1_d2.png","dirt","3","1","2","50","50","500","100"
"brine","43","brine_dirt_b3_s1_d3.png","dirt","3","1","3","50","50","550","100"
"brine","44","brine_dirt_b3_s2_d0.png","dirt","3","2","0","50","50","600","100"
"brine","45","brine_dirt_b3_s2_d1.png","dirt","3","2","1","50","50","650","100"
"brine","46","brine_dirt_b3_s2_d2.png","dirt","3","2","2","50","50","700","100"
"brine","47","brine_dirt_b3_s2_d3.png","dirt","3","2","3","50","50","750","100"
"brine","48","brine_stone_b0_s0_d0.png","stone","0","0","0","50","50","0","150"
"brine","49","brine_stone_b0_s0_d1.png","stone","0","0","1","50","50","50","150"
"brine","50","brine_stone_b0_s0_d2.png","stone","0","0","2","50","50","100","150"
"brine","51","brine_stone_b0_s0_d3.png","stone","0","0","3","50","50","150","150"
"brine","52","brine_stone_b0_s1_d0.png","stone","0","1","0","50","50","200","150"
"brine","53","brine_stone_b0_s1_d1.png","stone","0","1","1","50","50","250","150"
"brine","54","brine_stone_b0_s1_d2.png","stone","0","1","2","50","50","300","150"
"brine","55","brine_stone_b0_s1_d3.png","stone","0","1","3","50","50","350","150"
"brine","56","brine_stone_b0_s2_d0.png","stone","0","2","0","50","50","400","150"
"brine","57","brine_stone_b0_s2_d1.png","stone","0","2","1","50","50","450","150"
"brine","58","brine_stone_b0_s2_d2.png","stone","0","2","2","50","50","500","150"
"brine","59","brine_stone_b0_s2_d3.png","stone","0","2","3","50","50","550","150"
"brine","60","brine_stone_b1_s0_d0.png","stone","1","0","0","50","50","600","150"
"brine","61","brine_stone_b1_s0_d1.png","stone","1","0","1","50","50","650","150"
"brine","62","brine_stone_b1_s0_d2.png","stone","1","0","2","50","50","700","150"
"brine","63","brine_stone_b1_s0_d3.png","stone","1","0","3","50","50","750","150"
"brine","64","brine_stone_b1_s1_d0.png","stone","1","1","0","50","50","0","200"
"brine","65","brine_stone_b1_s1_d1.png","stone","1","1","1","50","50","50","200"
"brine","66","brine_stone_b1_s1_d2.png","stone","1","1","2","50","50","100","200"
"brine","67","brine_stone_b1_s1_d3.png","stone","1","1","3","50","50","150","200"
"brine","68","brine_stone_b1_s2_d0.png","stone","1","2","0","50","50","200","200"
"brine","69","brine_stone_b1_s2_d1.png","stone","1","2","1","50","50","250","200"
"brine","70","brine_stone_b1_s2_d2.png","stone","1","2","2","50","50","300","200"
"brine","71","brine_stone_b1_s2_d3.png","stone","1","2","3","50","50","350","200"
"brine","72","brine_stone_b2_s0_d0.png","stone","2","0","0","50","50","400","200"
"brine","73","brine_stone_b2_s0_d1.png","stone","2","0","1","50","50","450","200"
"brine","74","brine_stone_b2_s0_d2.png","stone","2","0","2","50","50","500","200"
"brine","75","brine_stone_b2_s0_d3.png","stone","2","0","3","50","50","550","200"
"brine","76","brine_stone_b2_s1_d0.png","stone","2","1","0","50","50","600","200"
"brine","77","brine_stone_b2_s1_d1.png","stone","2","1","1","50","50","650","200"
"brine","78","brine_stone_b2_s1_d2.png","stone","2","1","2","50","50","700","200"
"brine","79","brine_stone_b2_s1_d3.png","stone","2","1","3","50","50","750","200"
"brine","80","brine_stone_b2_s2_d0.png","stone","2","2","0","50","50","0","250"
"brine","81","brine_stone_b2_s2_d1.png","stone","2","2","1","50","50","50","250"
"brine","82","brine_stone_b2_s2_d2.png","stone","2","2","2","50","50","100","250"
"brine","83","brine_stone_b2_s2_d3.png","stone","2","2","3","50","50","150","250"
"brine","84","brine_stone_b3_s0_d0.png","stone","3","0","0","50","50","200","250"
"brine","85","brine_stone_b3_s0_d1.png","stone","3","0","1","50","50","250","250"
"brine","86","brine_stone_b3_s0_d2.png","stone","3","0","2","50","50","300","250"
"brine","87","brine_stone_b3_s0_d3.png","stone","3","0","3","50","50","350","250"
"brine","88","brine_stone_b3_s1_d0.png","stone","3","1","0","50","50","400","250"
"brine","89","brine_stone_b3_s1_d1.png","stone","3","1","1","50","50","450","250"
"brine","90","brine_stone_b3_s1_d2.png","stone","3","1","2","50","50","500","250"
"brine","91","brine_stone_b3_s1_d3.png","stone","3","1","3","50","50","550","250"
"brine","92","brine_stone_b3_s2_d0.png","stone","3","2","0","50","50","600","250"
"brine","93","brine_stone_b3_s2_d1.png","stone","3","2","1","50","50","650","250"
"brine","94","brine_stone_b3_s2_d2.png","stone","3","2","2","50","50","700","250"
"brine","95","brine_stone_b3_s2_d3.png","stone","3","2","3","50","50","750","250"
"brine","96","brine_ore_b0_s0_d0.png","ore","0","0","0","50","50","0","300"
"brine","97","brine_ore_b0_s0_d1.png","ore","0","0","1","50","50","50","300"
"brine","98","brine_ore_b0_s0_d2.png","ore","0","0","2","50","50","100","300"
"brine","99","brine_ore_b0_s0_d3.png","ore","0","0","3","50","50","150","300"
"brine","100","brine_ore_b0_s1_d0.png","ore","0","1","0","50","50","200","300"
"brine","101","brine_ore_b0_s1_d1.png","ore","0","1","1","50","50","250","300"
"brine","102","brine_ore_b0_s1_d2.png","ore","0","1","2","50","50","300","300"
"brine","103","brine_ore_b0_s1_d3.png","ore","0","1","3","50","50","350","300"
"brine","104","brine_ore_b0_s2_d0.png","ore","0","2","0","50","50","400","300"
"brine","105","brine_ore_b0_s2_d1.png","ore","0","2","1","50","50","450","300"
"brine","106","brine_ore_b0_s2_d2.png","ore","0","2","2","50","50","500","300"
"brine","107","brine_ore_b0_s2_d3.png","ore","0","2","3","50","50","550","300"
"brine","108","brine_ore_b1_s0_d0.png","ore","1","0","0","50","50","600","300"
"brine","109","brine_ore_b1_s0_d1.png","ore","1","0","1","50","50","650","300"
"brine","110","brine_ore_b1_s0_d2.png","ore","1","0","2","50","50","700","300"
"brine","111","brine_ore_b1_s0_d3.png","ore","1","0","3","50","50","750","300"
"brine","112","brine_ore_b1_s1_d0.png","ore","1","1","0","50","50","0","350"
"brine","113","brine_ore_b1_s1_d1.png","ore","1","1","1","50","50","50","350"
"brine","114","brine_ore_b1_s1_d2.png","ore","1","1","2","50","50","100","350"
"brine","115","brine_ore_b1_s1_d3.png","ore","1","1","3","50","50","150","350"
"brine","116","brine_ore_b1_s2_d0.png","ore","1","2","0","50","50","200","350"
"brine","117","brine_ore_b1_s2_d1.png","ore","1","2","1","50","50","250","350"
"brine","118","brine_ore_b1_s2_d2.png","ore","1","2","2","50","50","300","350"
"brine","119","brine_ore_b1_s2_d3.png","ore","1","2","3","50","50","350","350"
"brine","120","brine_ore_b2_s0_d0.png","ore","2","0","0","50","50","400","350"
"brine","121","brine_ore_b2_s0_d1.png","ore","2","0","1","50","50","450","350"
"brine","122","brine_ore_b2_s0_d2.png","ore","2","0","2","50","50","500","350"
"brine","123","brine_ore_b2_s0_d3.png","ore","2","0","3","50","50","550","350"
"brine","124","brine_ore_b2_s1_d0.png","ore","2","1","0","50","50","600","350"
"brine","125","brine_ore_b2_s1_d1.png","ore","2","1","1","50","50","650","350"
"brine","126","brine_ore_b2_s1_d2.png","ore","2","1","2","50","50","700","350"
"brine","127","brine_ore_b2_s1_d3.png","ore","2","1","3","50","50","750","350"
"brine","128","brine_ore_b2_s2_d0.png","ore","2","2","0","50","50","0","400"
"brine","129","brine_ore_b2_s2_d1.png","ore","2","2","1","50","50","50","400"
"brine","130","brine_ore_b2_s2_d2.png","ore","2","2","2","50","50","100","400"
"brine","131","brine_ore_b2_s2_d3.png","ore","2","2","3","50","50","150","400"
"brine","132","brine_ore_b3_s0_d0.png","ore","3","0","0","50","50","200","400"
"brine","133","brine_ore_b3_s0_d1.png","ore","3","0","1","50","50","250","400"
"brine","134","brine_ore_b3_s0_d2.png","ore","3","0","2","50","50","300","400"
"brine","135","brine_ore_b3_s0_d3.png","ore","3","0","3","50","50","350","400"
"brine","136","brine_ore_b3_s1_d0.png","ore","3","1","0","50","50","400","400"
"brine","137","brine_ore_b3_s1_d1.png","ore","3","1","1","50","50","450","400"
"brine","138","brine_ore_b3_s1_d2.png","ore","3","1","2","50","50","500","400"
"brine","139","brine_ore_b3_s1_d3.png","ore","3","1","3","50","50","550","400"
"brine","140","brine_ore_b3_s2_d0.png","ore","3","2","0","50","50","600","400"
"brine","141","brine_ore_b3_s2_d1.png","ore","3","2","1","50","50","650","400"
"brine","142","brine_ore_b3_s2_d2.png","ore","3","2","2","50","50","700","400"
"brine","143","brine_ore_b3_s2_d3.png","ore","3","2","3","50","50","750","400"
"brine","144","brine_gem_b0_s0_d0.png","gem","0","0","0","50","50","0","450"
"brine","145","brine_gem_b0_s0_d1.png","gem","0","0","1","50","50","50","450"
"brine","146","brine_gem_b0_s0_d2.png","gem","0","0","2","50","50","100","450"
"brine","147","brine_gem_b0_s0_d3.png","gem","0","0","3","50","50","150","450"
"brine","148","brine_gem_b0_s1_d0.png","gem","0","1","0","50","50","200","450"
"brine","149","brine_gem_b0_s1_d1.png","gem","0","1","1","50","50","250","450"
"brine","150","brine_gem_b0_s1_d2.png","gem","0","1","2","50","50","300","450"
"brine","151","brine_gem_b0_s1_d3.png","gem","0","1","3","50","50","350","450"
"brine","152","brine_gem_b0_s2_d0.png","gem","0","2","0","50","50","400","450"
"brine","153","brine_gem_b0_s2_d1.png","gem","0","2","1","50","50","450","450"
"brine","154","brine_gem_b0_s2_d2.png","gem","0","2","2","50","50","500","450"
"brine","155","brine_gem_b0_s2_d3.png","gem","0","2","3","50","50","550","450"
"brine","156","brine_gem_b1_s0_d0.png","gem","1","0","0","50","50","600","450"
"brine","157","brine_gem_b1_s0_d1.png","gem","1","0","1","50","50","650","450"
"brine","158","brine_gem_b1_s0_d2.png","gem","1","0","2","50","50","700","450"
"brine","159","brine_gem_b1_s0_d3.png","gem","1","0","3","50","50","750","450"
"brine","160","brine_gem_b1_s1_d0.png","gem","1","1","0","50","50","0","500"
"brine","161","brine_gem_b1_s1_d1.png","gem","1","1","1","50","50","50","500"
"brine","162","brine_gem_b1_s1_d2.png","gem","1","1","2","50","50","100","500"
"brine","163","brine_gem_b1_s1_d3.png","gem","1","1","3","50","50","150","500"
"brine","164","brine_gem_b1_s2_d0.png","gem","1","2","0","50","50","200","500"
"brine","165","brine_gem_b1_s2_d1.png","gem","1","2","1","50","50","250","500"
"brine","166","brine_gem_b1_s2_d2.png","gem","1","2","2","50","50","300","500"
"brine","167","brine_gem_b1_s2_d3.png","gem","1","2","3","50","50","350","500"
"brine","168","brine_gem_b2_s0_d0.png","gem","2","0","0","50","50","400","500"
"brine","169","brine_gem_b2_s0_d1.png","gem","2","0","1","50","50","450","500"
"brine","170","brine_gem_b2_s0_d2.png","gem","2","0","2","50","50","500","500"
"brine","171","brine_gem_b2_s0_d3.png","gem","2","0","3","50","50","550","500"
"brine","172","brine_gem_b2_s1_d0.png","gem","2","1","0","50","50","600","500"
"brine","173","brine_gem_b2_s1_d1.png","gem","2","1","1","50","50","650","500"
"brine","174","brine_gem_b2_s1_d2.png","gem","2","1","2","50","50","700","500"
"brine","175","brine_gem_b2_s1_d3.png","gem","2","1","3","50","50","750","500"
"brine","176","brine_gem_b2_s2_d0.png","gem","2","2","0","50","50","0","550"
"brine","177","brine_gem_b2_s2_d1.png","gem","2","2","1","50","50","50","550"
"brine","178","brine_gem_b2_s2_d2.png","gem","2","2","2","50","50","100","550"
"brine","179","brine_gem_b2_s2_d3.png","gem","2","2","3","50","50","150","550"
"brine","180","brine_gem_b3_s0_d0.png","gem","3","0","0","50","50","200","550"
"brine","181","brine_gem_b3_s0_d1.png","gem","3","0","1","50","50","250","550"
"brine","182","brine_gem_b3_s0_d2.png","gem","3","0","2","50","50","300","550"
"brine","183","brine_gem_b3_s0_d3.png","gem","3","0","3","50","50","350","550"
"brine","184","brine_gem_b3_s1_d0.png","gem","3","1","0","50","50","400","550"
"brine","185","brine_gem_b3_s1_d1.png","gem","3","1","1","50","50","450","550"
"brine","186","brine_gem_b3_s1_d2.png","gem","3","1","2","50","50","500","550"
"brine","187","brine_gem_b3_s1_d3.png","gem","3","1","3","50","50","550","550"
"brine","188","brine_gem_b3_s2_d0.png","gem","3","2","0","50","50","600","550"
"brine","189","brine_gem_b3_s2_d1.png","gem","3","2","1","50","50","650","550"
"brine","190","brine_gem_b3_s2_d2.png","gem","3","2","2","50","50","700","550"
"brine","191","brine_gem_b3_s2_d3.png","gem","3","2","3","50","50","750","550"
"brine","192","brine_crys_b0_s0_d0.png","crys","0","0","0","50","50","0","600"
"brine","193","brine_crys_b0_s0_d1.png","crys","0","0","1","50","50","50","600"
"brine","194","brine_crys_b0_s0_d2.png","crys","0","0","2","50","50","100","600"
"brine","195","brine_crys_b0_s0_d3.png","crys","0","0","3","50","50","150","600"
"brine","196","brine_crys_b0_s1_d0.png","crys","0","1","0","50","50","200","600"
"brine","197","brine_crys_b0_s1_d1.png","crys","0","1","1","50","50","250","600"
"brine","198","brine_crys_b0_s1_d2.png","crys","0","1","2","50","50","300","600"
"brine","199","brine_crys_b0_s1_d3.png","crys","0","1","3","50","50","350","600"
"brine","200","brine_crys_b0_s2_d0.png","crys","0","2","0","50","50","400","600"
"brine","201","brine_crys_b0_s2_d1.png","crys","0","2","1","50","50","450","600"
"brine","202","brine_crys_b0_s2_d2.png","crys","0","2","2","50","50","500","600"
"brine","203","brine_crys_b0_s2_d3.png","crys","0","2","3","50","50","550","600"
"brine","204","brine_crys_b1_s0_d0.png","crys","1","0","0","50","50","600","600"
"brine","205","brine_crys_b1_s0_d1.png","crys","1","0","1","50","50","650","600"
"brine","206","brine_crys_b1_s0_d2.png","crys","1","0","2","50","50","700","600"
"brine","207","brine_crys_b1_s0_d3.png","crys","1","0","3","50","50","750","600"
"brine","208","brine_crys_b1_s1_d0.png","crys","1","1","0","50","50","0","650"
"brine","209","brine_crys_b1_s1_d1.png","crys","1","1","1","50","50","50","650"
"brine","210","brine_crys_b1_s1_d2.png","crys","1","1","2","50","50","100","650"
"brine","211","brine_crys_b1_s1_d3.png","crys","1","1","3","50","50","150","650"
"brine","212","brine_crys_b1_s2_d0.png","crys","1","2","0","50","50","200","650"
"brine","213","brine_crys_b1_s2_d1.png","crys","1","2","1","50","50","250","650"
"brine","214","brine_crys_b1_s2_d2.png","crys","1","2","2","50","50","300","650"
"brine","215","brine_crys_b1_s2_d3.png","crys","1","2","3","50","50","350","650"
"brine","216","brine_crys_b2_s0_d0.png","crys","2","0","0","50","50","400","650"
"brine","217","brine_crys_b2_s0_d1.png","crys","2","0","1","50","50","450","650"
"brine","218","brine_crys_b2_s0_d2.png","crys","2","0","2","50","50","500","650"
"brine","219","brine_crys_b2_s0_d3.png","crys","2","0","3","50","50","550","650"
"brine","220","brine_crys_b2_s1_d0.png","crys","2","1","0","50","50","600","650"
"brine","221","brine_crys_b2_s1_d1.png","crys","2","1","1","50","50","650","650"
"brine","222","brine_crys_b2_s1_d2.png","crys","2","1","2","50","50","700","650"
"brine","223","brine_crys_b2_s1_d3.png","crys","2","1","3","50","50","750","650"
"brine","224","brine_crys_b2_s2_d0.png","crys","2","2","0","50","50","0","700"
"brine","225","brine_crys_b2_s2_d1.png","crys","2","2","1","50","50","50","700"
"brine","226","brine_crys_b2_s2_d2.png","crys","2","2","2","50","50","100","700"
"brine","227","brine_crys_b2_s2_d3.png","crys","2","2","3","50","50","150","700"
"brine","228","brine_crys_b3_s0_d0.png","crys","3","0","0","50","50","200","700"
"brine","229","brine_crys_b3_s0_d1.png","crys","3","0","1","50","50","250","700"
"brine","230","brine_crys_b3_s0_d2.png","crys","3","0","2","50","50","300","700"
"brine","231","brine_crys_b3_s0_d3.png","crys","3","0","3","50","50","350","700"
"brine","232","brine_crys_b3_s1_d0.png","crys","3","1","0","50","50","400","700"
"brine","233","brine_crys_b3_s1_d1.png","crys","3","1","1","50","50","450","700"
"brine","234","brine_crys_b3_s1_d2.png","crys","3","1","2","50","50","500","700"
"brine","235","brine_crys_b3_s1_d3.png","crys","3","1","3","50","50","550","700"
"brine","236","brine_crys_b3_s2_d0.png","crys","3","2","0","50","50","600","700"
"brine","237","brine_crys_b3_s2_d1.png","crys","3","2","1","50","50","650","700"
"brine","238","brine_crys_b3_s2_d2.png","crys","3","2","2","50","50","700","700"
"brine","239","brine_crys_b3_s2_d3.png","crys","3","2","3","50","50","750","700"
"brine","240","brine_rock_b0.png","rock","0","0","0","50","50","0","750"
"brine","241","brine_rock_b1.png","rock","1","0","0","50","50","50","750"
"brine","242","brine_rock_b2.png","rock","2","0","0","50","50","100","750"
"brine","243","brine_rock_b3.png","rock","3","0","0","50","50","150","750"
"brine","244","brine_core_top_b0_v0.png","core_top","0",,,"50","50","200","750"
"brine","245","brine_core_top_b0_v1.png","core_top","0",,,"50","50","250","750"
"brine","246","brine_core_top_b0_v2.png","core_top","0",,,"50","50","300","750"
"brine","247","brine_core_top_b0_v3.png","core_top","0",,,"50","50","350","750"
"brine","248","brine_core_top_b0_v4.png","core_top","0",,,"50","50","400","750"
"brine","249","brine_core_top_b0_v5.png","core_top","0",,,"50","50","450","750"
"brine","250","brine_core_top_b1_v0.png","core_top","1",,,"50","50","500","750"
"brine","251","brine_core_top_b1_v1.png","core_top","1",,,"50","50","550","750"
"brine","252","brine_core_top_b1_v2.png","core_top","1",,,"50","50","600","750"
"brine","253","brine_core_top_b1_v3.png","core_top","1",,,"50","50","650","750"
"brine","254","brine_core_top_b1_v4.png","core_top","1",,,"50","50","700","750"
"brine","255","brine_core_top_b1_v5.png","core_top","1",,,"50","50","750","750"
"brine","256","brine_core_top_b2_v0.png","core_top","2",,,"50","50","0","800"
"brine","257","brine_core_top_b2_v1.png","core_top","2",,,"50","50","50","800"
"brine","258","brine_core_top_b2_v2.png","core_top","2",,,"50","50","100","800"
"brine","259","brine_core_top_b2_v3.png","core_top","2",,,"50","50","150","800"
"brine","260","brine_core_top_b2_v4.png","core_top","2",,,"50","50","200","800"
"brine","261","brine_core_top_b2_v5.png","core_top","2",,,"50","50","250","800"
"brine","262","brine_core_top_b3_v0.png","core_top","3",,,"50","50","300","800"
"brine","263","brine_core_top_b3_v1.png","core_top","3",,,"50","50","350","800"
"brine","264","brine_core_top_b3_v2.png","core_top","3",,,"50","50","400","800"
"brine","265","brine_core_top_b3_v3.png","core_top","3",,,"50","50","450","800"
"brine","266","brine_core_top_b3_v4.png","core_top","3",,,"50","50","500","800"
"brine","267","brine_core_top_b3_v5.png","core_top","3",,,"50","50","550","800"
"purple","0","purple_dirt_b0_s0_d0.png","dirt","0","0","0","50","50","0","0"
"purple","1","purple_dirt_b0_s0_d1.png","dirt","0","0","1","50","50","50","0"
"purple","2","purple_dirt_b0_s0_d2.png","dirt","0","0","2","50","50","100","0"
"purple","3","purple_dirt_b0_s0_d3.png","dirt","0","0","3","50","50","150","0"
"purple","4","purple_dirt_b0_s1_d0.png","dirt","0","1","0","50","50","200","0"
"purple","5","purple_dirt_b0_s1_d1.png","dirt","0","1","1","50","50","250","0"
"purple","6","purple_dirt_b0_s1_d2.png","dirt","0","1","2","50","50","300","0"
"purple","7","purple_dirt_b0_s1_d3.png","dirt","0","1","3","50","50","350","0"
"purple","8","purple_dirt_b0_s2_d0.png","dirt","0","2","0","50","50","400","0"
"purple","9","purple_dirt_b0_s2_d1.png","dirt","0","2","1","50","50","450","0"
"purple","10","purple_dirt_b0_s2_d2.png","dirt","0","2","2","50","50","500","0"
"purple","11","purple_dirt_b0_s2_d3.png","dirt","0","2","3","50","50","550","0"
"purple","12","purple_dirt_b1_s0_d0.png","dirt","1","0","0","50","50","600","0"
"purple","13","purple_dirt_b1_s0_d1.png","dirt","1","0","1","50","50","650","0"
"purple","14","purple_dirt_b1_s0_d2.png","dirt","1","0","2","50","50","700","0"
"purple","15","purple_dirt_b1_s0_d3.png","dirt","1","0","3","50","50","750","0"
"purple","16","purple_dirt_b1_s1_d0.png","dirt","1","1","0","50","50","0","50"
"purple","17","purple_dirt_b1_s1_d1.png","dirt","1","1","1","50","50","50","50"
"purple","18","purple_dirt_b1_s1_d2.png","dirt","1","1","2","50","50","100","50"
"purple","19","purple_dirt_b1_s1_d3.png","dirt","1","1","3","50","50","150","50"
"purple","20","purple_dirt_b1_s2_d0.png","dirt","1","2","0","50","50","200","50"
"purple","21","purple_dirt_b1_s2_d1.png","dirt","1","2","1","50","50","250","50"
"purple","22","purple_dirt_b1_s2_d2.png","dirt","1","2","2","50","50","300","50"
"purple","23","purple_dirt_b1_s2_d3.png","dirt","1","2","3","50","50","350","50"
"purple","24","purple_dirt_b2_s0_d0.png","dirt","2","0","0","50","50","400","50"
"purple","25","purple_dirt_b2_s0_d1.png","dirt","2","0","1","50","50","450","50"
"purple","26","purple_dirt_b2_s0_d2.png","dirt","2","0","2","50","50","500","50"
"purple","27","purple_dirt_b2_s0_d3.png","dirt","2","0","3","50","50","550","50"
"purple","28","purple_dirt_b2_s1_d0.png","dirt","2","1","0","50","50","600","50"
"purple","29","purple_dirt_b2_s1_d1.png","dirt","2","1","1","50","50","650","50"
"purple","30","purple_dirt_b2_s1_d2.png","dirt","2","1","2","50","50","700","50"
"purple","31","purple_dirt_b2_s1_d3.png","dirt","2","1","3","50","50","750","50"
"purple","32","purple_dirt_b2_s2_d0.png","dirt","2","2","0","50","50","0","100"
"purple","33","purple_dirt_b2_s2_d1.png","dirt","2","2","1","50","50","50","100"
"purple","34","purple_dirt_b2_s2_d2.png","dirt","2","2","2","50","50","100","100"
"purple","35","purple_dirt_b2_s2_d3.png","dirt","2","2","3","50","50","150","100"
"purple","36","purple_dirt_b3_s0_d0.png","dirt","3","0","0","50","50","200","100"
"purple","37","purple_dirt_b3_s0_d1.png","dirt","3","0","1","50","50","250","100"
"purple","38","purple_dirt_b3_s0_d2.png","dirt","3","0","2","50","50","300","100"
"purple","39","purple_dirt_b3_s0_d3.png","dirt","3","0","3","50","50","350","100"
"purple","40","purple_dirt_b3_s1_d0.png","dirt","3","1","0","50","50","400","100"
"purple","41","purple_dirt_b3_s1_d1.png","dirt","3","1","1","50","50","450","100"
"purple","42","purple_dirt_b3_s1_d2.png","dirt","3","1","2","50","50","500","100"
"purple","43","purple_dirt_b3_s1_d3.png","dirt","3","1","3","50","50","550","100"
"purple","44","purple_dirt_b3_s2_d0.png","dirt","3","2","0","50","50","600","100"
"purple","45","purple_dirt_b3_s2_d1.png","dirt","3","2","1","50","50","650","100"
"purple","46","purple_dirt_b3_s2_d2.png","dirt","3","2","2","50","50","700","100"
"purple","47","purple_dirt_b3_s2_d3.png","dirt","3","2","3","50","50","750","100"
"purple","48","purple_stone_b0_s0_d0.png","stone","0","0","0","50","50","0","150"
"purple","49","purple_stone_b0_s0_d1.png","stone","0","0","1","50","50","50","150"
"purple","50","purple_stone_b0_s0_d2.png","stone","0","0","2","50","50","100","150"
"purple","51","purple_stone_b0_s0_d3.png","stone","0","0","3","50","50","150","150"
"purple","52","purple_stone_b0_s1_d0.png","stone","0","1","0","50","50","200","150"
"purple","53","purple_stone_b0_s1_d1.png","stone","0","1","1","50","50","250","150"
"purple","54","purple_stone_b0_s1_d2.png","stone","0","1","2","50","50","300","150"
"purple","55","purple_stone_b0_s1_d3.png","stone","0","1","3","50","50","350","150"
"purple","56","purple_stone_b0_s2_d0.png","stone","0","2","0","50","50","400","150"
"purple","57","purple_stone_b0_s2_d1.png","stone","0","2","1","50","50","450","150"
"purple","58","purple_stone_b0_s2_d2.png","stone","0","2","2","50","50","500","150"
"purple","59","purple_stone_b0_s2_d3.png","stone","0","2","3","50","50","550","150"
"purple","60","purple_stone_b1_s0_d0.png","stone","1","0","0","50","50","600","150"
"purple","61","purple_stone_b1_s0_d1.png","stone","1","0","1","50","50","650","150"
"purple","62","purple_stone_b1_s0_d2.png","stone","1","0","2","50","50","700","150"
"purple","63","purple_stone_b1_s0_d3.png","stone","1","0","3","50","50","750","150"
"purple","64","purple_stone_b1_s1_d0.png","stone","1","1","0","50","50","0","200"
"purple","65","purple_stone_b1_s1_d1.png","stone","1","1","1","50","50","50","200"
"purple","66","purple_stone_b1_s1_d2.png","stone","1","1","2","50","50","100","200"
"purple","67","purple_stone_b1_s1_d3.png","stone","1","1","3","50","50","150","200"
